code,trade_quote,time,time_actual,trade_price,open,high,low,ask_price_trade,bid_price_trade,ask_amount_trade,bid_amount_trade,change,volume,acc_volume,acc_buy_volume,acc_sell_volume,trade_buy_sell,trade_incoming_option,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_amount_1,ask_amount_2,ask_amount_3,ask_amount_4,ask_amount_5,ask_amount_total,ask_count_1,ask_count_2,ask_count_3,ask_count_4,ask_count_5,ask_count_total,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_amount_1,bid_amount_2,bid_amount_3,bid_amount_4,bid_amount_5,bid_amount_total,bid_count_1,bid_count_2,bid_count_3,bid_count_4,bid_count_5,bid_count_total
167R9,quote,152706,15:27:07.537571,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,4,123,87,168,123,5727,1,10,9,15,12,719,128.06,128.05,128.04,128.03,128.02,23,147,184,125,55,4826,6,15,15,8,12,556
167R9,quote,152707,15:27:08.471075,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,4,123,87,168,123,5727,1,10,9,15,12,719,128.06,128.05,128.04,128.03,128.02,23,147,184,125,55,4826,6,15,15,8,12,556
167R9,quote,152707,15:27:08.972736,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,4,121,87,168,123,5725,1,9,9,15,12,718,128.06,128.05,128.04,128.03,128.02,23,147,184,125,55,4826,6,15,15,8,12,556
167R9,quote,152708,15:27:09.409566,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,9,121,87,168,123,5730,2,9,9,15,12,719,128.06,128.05,128.04,128.03,128.02,23,147,184,125,55,4826,6,15,15,8,12,556
167R9,quote,152708,15:27:09.410564,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,9,121,87,168,123,5730,2,9,9,15,12,719,128.06,128.05,128.04,128.03,128.02,23,147,184,133,55,4834,6,15,15,9,12,557
167R9,quote,152708,15:27:09.910228,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,9,121,85,168,123,5728,2,9,8,15,12,718,128.06,128.05,128.04,128.03,128.02,23,147,184,133,55,4834,6,15,15,9,12,557
167R9,quote,152708,15:27:10.033898,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,9,121,85,168,123,5728,2,9,8,15,12,718,128.06,128.05,128.04,128.03,128.02,23,147,184,133,55,4834,6,15,15,9,12,557
167R9,quote,152708,15:27:10.097727,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,9,121,85,168,123,5728,2,9,8,15,12,718,128.06,128.05,128.04,128.03,128.02,23,147,184,133,55,4834,6,15,15,9,12,557
167R9,quote,152709,15:27:10.532565,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,9,121,85,168,123,5728,2,9,8,15,12,718,128.06,128.05,128.04,128.03,128.02,47,147,184,133,55,4858,7,15,15,9,12,558
167R9,quote,152709,15:27:10.533563,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,9,121,85,168,123,5728,2,9,8,15,12,718,128.06,128.05,128.04,128.03,128.02,47,147,176,133,55,4850,7,15,14,9,12,557
167R9,quote,152709,15:27:10.534560,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,9,121,85,168,123,5728,2,9,8,15,12,718,128.06,128.05,128.04,128.03,128.02,47,147,176,141,55,4858,7,15,14,10,12,558
167R9,quote,152709,15:27:10.534560,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,9,121,85,168,123,5728,2,9,8,15,12,718,128.06,128.05,128.04,128.03,128.02,47,147,176,133,55,4850,7,15,14,9,12,557
167R9,quote,152709,15:27:10.783893,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,9,121,85,168,123,5728,2,9,8,15,12,718,128.06,128.05,128.04,128.03,128.02,47,147,176,133,55,4850,7,15,14,9,12,557
167R9,quote,152710,15:27:11.284555,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,9,121,85,168,123,5728,2,9,8,15,12,718,128.06,128.05,128.04,128.03,128.02,47,147,176,133,55,4850,7,15,14,9,12,557
167R9,quote,152710,15:27:11.470059,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,9,121,85,168,123,5728,2,9,8,15,12,718,128.06,128.05,128.04,128.03,128.02,47,147,176,133,55,4850,7,15,14,9,12,557
167R9,quote,152710,15:27:11.535883,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,9,121,85,168,123,5728,2,9,8,15,12,718,128.06,128.05,128.04,128.03,128.02,47,147,176,133,55,4850,7,15,14,9,12,557
167R9,quote,152710,15:27:11.594726,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,9,121,85,168,123,5728,2,9,8,15,12,718,128.06,128.05,128.04,128.03,128.02,47,147,184,133,55,4858,7,15,15,9,12,558
167R9,quote,152710,15:27:11.845057,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,9,121,85,178,123,5738,2,9,8,16,12,719,128.06,128.05,128.04,128.03,128.02,47,147,184,133,55,4858,7,15,15,9,12,558
167R9,quote,152710,15:27:12.032556,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,9,121,85,178,123,5738,2,9,8,16,12,719,128.06,128.05,128.04,128.03,128.02,47,147,184,133,55,4858,7,15,15,9,12,558
167R9,quote,152711,15:27:12.470386,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,9,121,85,178,123,5738,2,9,8,16,12,719,128.06,128.05,128.04,128.03,128.02,47,147,184,133,55,4858,7,15,15,9,12,558
167R9,quote,152711,15:27:12.535213,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,9,121,85,178,123,5738,2,9,8,16,12,719,128.06,128.05,128.04,128.03,128.02,47,147,184,133,55,4858,7,15,15,9,12,558
167R9,quote,152711,15:27:12.536210,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,9,121,85,178,123,5738,2,9,8,16,12,719,128.06,128.05,128.04,128.03,128.02,47,147,184,133,55,4858,7,15,15,9,12,558
167R9,quote,152711,15:27:12.537207,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,9,121,85,178,123,5738,2,9,8,16,12,719,128.06,128.05,128.04,128.03,128.02,47,147,184,133,55,4858,7,15,15,9,12,558
167R9,quote,152711,15:27:12.908217,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,9,121,85,178,147,5762,2,9,8,16,13,720,128.06,128.05,128.04,128.03,128.02,47,147,184,133,55,4858,7,15,15,9,12,558
167R9,quote,152712,15:27:13.472713,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,9,121,85,178,147,5762,2,9,8,16,13,720,128.06,128.05,128.04,128.03,128.02,47,147,184,133,55,4858,7,15,15,9,12,558
167R9,quote,152713,15:27:15.032537,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,9,121,85,178,147,5762,2,9,8,16,13,720,128.06,128.05,128.04,128.03,128.02,47,147,184,133,55,4858,7,15,15,9,12,558
167R9,quote,152713,15:27:15.095370,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,9,121,85,178,147,5762,2,9,8,16,13,720,128.06,128.05,128.04,128.03,128.02,47,147,184,133,55,4858,7,15,15,9,12,558
167R9,trade,152714,15:27:15.407535,128.07,128.44,128.45,127.99,128.08,128.07,121,1,-0.37,48773,48773,23931,24842,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167R9,quote,152713,15:27:15.407535,,,,,,,,,,,,,,,,128.08,128.09,128.1,128.11,128.12,121,85,178,147,234,5753,9,8,16,13,12,718,128.07,128.06,128.05,128.04,128.03,1,47,147,184,133,4859,1,7,15,15,9,559
167R9,trade,152714,15:27:15.408533,128.07,128.44,128.45,127.99,128.08,128.06,121,47,-0.37,48774,48774,23931,24843,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167R9,quote,152713,15:27:15.408533,,,,,,,,,,,,,,,,128.08,128.09,128.1,128.11,128.12,121,85,178,147,234,5753,9,8,16,13,12,718,128.06,128.05,128.04,128.03,128.02,47,147,184,133,55,4858,7,15,15,9,12,558
167R9,quote,152714,15:27:15.409530,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,1,121,85,178,147,5754,1,9,8,16,13,719,128.06,128.05,128.04,128.03,128.02,47,147,184,133,55,4858,7,15,15,9,12,558
